artist,title,track_no,track_no_source,unknown,from_cd_artist,from_cd_title,mix_id,mix_name
"E, don",Love makes the world go around,60000911,T01: 10,1.0,"94th & 10th, a decade of 94th & broadway",V,Z0009,Car CD 09
"Ayers, roy",Sweet tears,60000912,T07,1.0,"Jumpin 2, classics from the original disco underground",V,Z0009,Car CD 09
Science dept,Persuasion,60000913,T01: 12,1.0,"Bedrock, john digweed",V,Z0009,Car CD 09
Dimitri from paris,Dim's jazz,60000914,T03,1.0,Future sound of paris 2,V,Z0009,Car CD 09
Mateo & matos,Happy feeling,60000915,T01: 01,0.0,"MOS late night sessions 2, xpress2",V,Z0009,Car CD 09
Eurekavibe,Sacred & true,60000916,T12,1.0,Radio raw 2,V,Z0009,Car CD 09
M people,How can I love you more (sasha remix),60001001,T02: 01,1.0,"Deconstruction classics, a history of dance music",V,Z0010,Car CD 10
Absolute us,There will come a day (& suzanne palmer),60001002,T01: 11,1.0,House of handbag,V,Z0010,Car CD 10
"Da silva, rui",Touch me,60001003,T01: 21,0.0,"MOS annual 2002, the",V,Z0010,Car CD 10
"Brown, jocelyn",Fun,60001004,T05,1.0,"Brown, jocelyn","Hits, the",Z0010,Car CD 10
Urban hype,Game of love,60001005,T05,1.0,Pulsating rhythms 5,V,Z0010,Car CD 10
"Simpson, paul & colonel abrams",Could it be,60001006,T01: 13,1.0,MOS sessions 12,V,Z0010,Car CD 10
Da mooch,Send me some love (& ellis miah),60001007,T01: 05,1.0,MOS 8,V,Z0010,Car CD 10
Magenta,Music & rights,60001008,T08,1.0,Future sound of paris 2,V,Z0010,Car CD 10
King street crew,Gonna be alright,60001009,T08,1.0,Nervous ny,V,Z0010,Car CD 10
"Giles, donna",And I tell you i'm not going to stonebridge,60001010,T05,1.0,MOS 3,V,Z0010,Car CD 10
Black science orchestra,Heavy gospel morning,60001011,T02: 03,1.0,MOS 6,V,Z0010,Car CD 10
Basement jaxx,Bingo bango,60001012,T02: 01,1.0,MOS club nation 1,V,Z0010,Car CD 10
Mcj,I'm ready for your love (& davina),60001013,T08,1.0,Made in italy,V,Z0010,Car CD 10
Androgeny,I could be this I could be that,60001014,T11,1.0,Strictly rhythm 3,V,Z0010,Car CD 10
"Murray, jolynn",It's time to party,60001015,T05,1.0,Garage divas,V,Z0010,Car CD 10
Transform,Transformation,60001101,T02: 02,1.0,Logic trance 2,V,Z0011,Car CD 11
"Sledge, kathy",Another star,60001102,T01: 03,0.0,MOS 4,V,Z0011,Car CD 11
Stereo mcs,Connected,60001103,T02: 11,0.0,"94th & 10th, a decade of 94th & broadway",V,Z0011,Car CD 11
"Brown, jocelyn",Happiness (& kamasutra),60001104,T06,1.0,"Brown, jocelyn","Hits, the",Z0011,Car CD 11
Aquanote,Only,60001105,T01: 06,1.0,Deeper,V,Z0011,Car CD 11
Freakpower,Turn on tune in cop out,60001106,T02: 10,1.0,"94th & 10th, a decade of 94th & broadway",V,Z0011,Car CD 11
"Tucker, barbara",Stay together,60001107,T01,0.0,Strictly rhythm 5,V,Z0011,Car CD 11
"Candelario, benji, project",Spread love,60001108,T02: 11,1.0,MOS sessions 12,V,Z0011,Car CD 11
"Chunks, chubby",Testament 4,60001109,T02: 08,1.0,100 mph pure underground dance 1 & 2,V,Z0011,Car CD 11
Ntrance,Set me free,60001110,T03: 03,1.0,"MOS annual 2002, the",V,Z0011,Car CD 11
Just us,What a night,60001111,T02: 12,1.0,"MOS annual 2002, the",V,Z0011,Car CD 11
Ground level,Searching for the truth,60001112,T10,1.0,Ground level,New moon,Z0011,Car CD 11
Funkygreendogs,Fired up,60001113,T02,1.0,Funkygreendogs,Getfiredup,Z0011,Car CD 11
Jetlag,So right,60001701,T02: 15,1.0,MOS clubbers guide to 2003,V,ZZZ0017,Car CD 12  - chilled mixed dance
Krystal k,Let's get it right,60001702,T02: 12,1.0,MOS clubbers guide to 2003,V,ZZZ0017,Car CD 12  - chilled mixed dance
Madasun,Walking on water,60001703,T02: 12,1.0,"Ayia napa, ultimate",V,ZZZ0017,Car CD 12  - chilled mixed dance
Chateau,Prism,60001704,T11,1.0,"Fashion tv, spring summer 2001 collection",V,ZZZ0017,Car CD 12  - chilled mixed dance
Groove armada,In side my mind,60001705,T12,1.0,Groove armada,Vertigo,ZZZ0017,Car CD 12  - chilled mixed dance
Groove armada,"Private interlude, a",60001706,T08,1.0,Groove armada,Vertigo,ZZZ0017,Car CD 12  - chilled mixed dance
"Wilkie, ian",Guten morgen,60001707,T08,1.0,Global underground destinations,V,ZZZ0017,Car CD 12  - chilled mixed dance
Oscar,Sunday 17th,60001708,T09,1.0,"Fashion tv, spring summer 2001 collection",V,ZZZ0017,Car CD 12  - chilled mixed dance
Friendly,Some kind of love song,60001709,T07,1.0,Escape,V,ZZZ0017,Car CD 12  - chilled mixed dance
Wicked beat sound system,I don't want to know,60001710,T05,1.0,Escape,V,ZZZ0017,Car CD 12  - chilled mixed dance
Hunting party,Grooving,60001711,T10,1.0,Escape,V,ZZZ0017,Car CD 12  - chilled mixed dance
Perpetual ocean,Starbright,60001712,T11,1.0,Escape,V,ZZZ0017,Car CD 12  - chilled mixed dance
Groove armada,Dusk you & me,60001713,T03,1.0,Groove armada,Vertigo,ZZZ0017,Car CD 12  - chilled mixed dance
Indian ropeman,Indian ropeman,60001714,T01: 07,1.0,We are skint,V,ZZZ0017,Car CD 12  - chilled mixed dance
Kosheen,Harder,60001715,T05,1.0,Kosheen,Resist,ZZZ0017,Car CD 12  - chilled mixed dance
"Linen, max","Sound shaker, the",60001801,T01: 17,1.0,"MOS annual 2002, the",V,Z0018,Car CD 13
"Artful dodger, the",What you gonna do (remix),60001802,T13,1.0,"Artful dodger, the",It's all about the stragglers,Z0018,Car CD 13
Illumination,Cookie river,60001803,T09,1.0,Cafe del mar 8 (ocho),V,Z0018,Car CD 13
Bedlam,Da force,60001804,T02: 10,1.0,Street fm 1,V,Z0018,Car CD 13
"Beginerz, the",Reckless girl,60001805,T01: 01,1.0,"MOS annual 2003, the",V,Z0018,Car CD 13
Natural calamity,And that's saying a lot,60001806,T09,1.0,This is not a soundclash,V,Z0018,Car CD 13
Fenomenon,Out of control,60001807,T06,0.0,This is not a soundclash,V,Z0018,Car CD 13
Mambana,No reason,60001808,T02: 06,1.0,MOS clubbers guide to 2003,V,Z0018,Car CD 13
