Artist,Title,Track no. on CDR,Track no. on source CD,,From CD artist,From CD title ( V = Various Artists)
"Ferry, bryan & roxy music",Slave to love (remix),60106605,T05,0,"Ferry, bryan & roxy music","Right mixes, the"
"Sundays, the",Here's where the story ends,60106606,T02,0,"Sundays, the",Reading writing & arithmetic
House of love,Beatles & the stones,60106607,T03,0,House of love,House of love (1990)
Hall & oates,I can't go for that (extended),60106608,T01: 03,0,Grand 12 inches 6,V
"Cars, the",Drive,60106609,T02,0,"Drivetime classic hits, daily mail",V
"Jackson, michael",Remember the time (new jack jazz mix 21),60106610,T08,0,"Jackson, michael",In the closet (maxi single cd)
Vampire weekend,Step,60106611,T03,0,Vampire weekend,Modern vampires of the city
"Bonnet, graham",Warm ride,60106612,T02: 11,0,"Rock collection, the, rock inferno",V
"Hall, daryl & john oates",Do it for love,60106613,T02: 17,0,"Hall, daryl & john oates","Essential daryl hall & john oates, the"
Prince,Purple rain,60106614,T18,0,Prince,"Hits 2, the"
Zzzz_01067,000_Drm 192,60106700,20170917,0,,ZZ 1067 Best of ambient 3
Biosphere,Startoucher (dub mix),60106701,T02: 04,0,Chillout basscapes,V
Burial,Untrue,60106702,T08,0,Burial,Untrue
"Roach, steve",Nightshade (& robert rich),60106703,T02,0,"Roach, steve",Soma (& robert rich)
He said,Pump,60106704,T01,0,He said,Hail
Kode9,Ghost town (& the spaceape),60106705,T02: 07,0,"Hyperdub, 5 years of",V
Banco de gaia,Drippy,60106706,T01,0,Banco de gaia,Big men cry
Jagwar ma,Did you have to,60106707,T01: 10,0,Jagwar ma,Howlin
He said,Do you mean that,60106708,T08,0,He said,Hail
Burial,Prayer,60106709,T11,0,Burial,Burial
Zzzz_01068,000_Drm 193,60106800,20170917,0,,ZZ 1068 Best of ambient 4
"Linder, krister",I love you,60106802,T05,0,"Linder, krister",Songs from the silent years
Jefferson,Feeling the sun (& sarahjane),60106803,T02: 09,0,Eco zen,V
Sound,Emerald,60106804,T02: 06,0,"Big chill 1, the",V
Future sound of london,"Lovers, the",60106805,T01,0,Future sound of london,"Isness, the"
"Gentle people, the",Journey,60106806,T02,0,Future sound of jazz 2,V
Polished chrome,Outside,60106807,T12,0,"Calm ibiza, pure ibiza chillout",V
Cdm,Many rivers to cross,60106809,T09,0,Cafe del mar 9 (nueve),V
Fenomenon,Pacific memories,60106810,T02: 07,0,Serve chilled 59,V
"Roach, archie",Small child,60106811,T15,0,"Roach, archie","Definitive collection, the"
Audio active,Free the majiuana (new mix),60106812,T07,0,Audio active,We are experienced
Zzzz_01318,000_DRM230,60131800,20200309,0,DRM230,ZZZ 1318 Superchilled 01
Friendly fires,Offline,60131801,T04,1,Friendly fires,Inflorescent
Sleep d,Banksia,60131802,T03,1,Sleep d,From 50 (& albrecht labrooy) (single)
Soul avenue,Stuck in a dream,60131803,T01,0,"Super session chilloutmaster1 2.27, demo",V
"Middleton, tom",Astral projection,60131804,T11,0,"Middleton, tom",Lifetracks
Saint morgan,You,60131805,T01,1,Saint morgan,You (single)
Mascara,Baja (dj steef mix),60131806,T01,1,Mascara,Baja (dj steef mix) (single)
Kucka,Real,60131807,T01,1,Kucka,Real (single)
Loft soul,Dear friend (dj spinna mix) (& feat lisa millet),60131808,T01,1,Loft soul,Dear friend (dj spinna mix) (& feat lisa millet)
Coldcut,Return to margin (afterlife mix),60131809,T05,0,Afterlife,"Afterlife lounge, the"
Software,Present voice,60131810,T02: 13,0,Balance 023,V
Flunk,Sugar planet,60131811,T08,0,"Sylt, finest lounge music no 1",V
Vibrasphere,Tierra azul (omnimotion mix featuring krister linder),60131812,T01: 06,0,Eco zen 2,V
Skee mask,Flyby vfr,60131813,T09,1,Skee mask,Compro
Skee mask,Vli,60131814,T08,1,Skee mask,Compro
Zzzz_01319,000_DNC569,60131900,20200309,0,DNC569,ZZ 1319 Supermodifed dance 06
"Anderson, jamie",Without sound (& iwain k),60131903,T01: 07 (trk 60111409 13:00 - end),0,Balance 018,V
"Okev, roy & hakimonu",Changes,60131904,T02: 02 (trk 60113604 4:20 - 10:00),0,Balance 026,V
Ripperton,Searchin 4 you,60131905,T08 (trk 60110905 1:10 - 4:10),0,"Fabric 76, deetron",V
"Yellowhead, the",Red light district,60131906,T01: 04 (trk 60111002 10:58 - end),0,Balance 022,V
Cid inc,Fragile circle,60131907,T02: 07,0,Balance 026,V
Tiesto,Bright morningstar (andy dugoid mix),60131908,T02: 07,0,Tiesto,"Elements of life, special edition"
Spirit catcher,Sedona,60131909,T01: 18 (trk 60111205 0 - 4:53),0,Balance 022,V
"Kieran, phil",Prism,60131910,T02: 20,0,Balance 022,V
"Barfod, tomas",Till we die (& ft nina kinert),60131911,T02: 15,0,Darkbeat 10th anniversary,V
"Cattaneo, hernan",Imaginarium (& guy mantzur),60131912,T02: 14 (trk 60112105 12:40 - 18:50),0,Balance 026,V
Jdnmgj,Trezzz,60131913,T02: 15,0,"Digweed, john, live in cordoba",V
"Cattaneo, hernan / Damabiah",Lunar (& soundexile) / Irminsul le pilier du monde,60131914,"T01: 16,17",,Balance 026,V
Zzzz_01320,000_DRM231,60132000,20200309,0,DRM231,"ZZZ 1320 Superchilled 02. 2 of 2 (1318 is 1 of 2), best of chilled from set 10 review & a few more from future sets"
Comatrixx,Sunrise cafe (original),60132001,T09,0,"Style, winter lounge",V
Afterlife,"Feeling, a",60132003,T02,0,Afterlife,Electrosensitive
Stargazer,Eastend,60132004,T13,0,"Jetset, exclusive winter chill",V
"Blanc, le, chris & liz june",Enjoy your life,60132005,T01: 11,0,Cafe del mar 12 (doce),V
"Cummings, stephen",Come on come on,60132006,T10,0,"Cummings, stephen","New kind of blue, a"
"Pompougnac, stephane",1 by 1,60132007,T12 (trk 60110001 11 cut),0,Hotel costes 15 (last in series),V
Ott,"Queen of all everything, the",60132008,T02: 10,0,Eco zen 2,V
Triangle sun,Beautiful,60132009,T01: 12,0,Cafe del mar 13 (trece),V
Little axe,Going down slow,60132010,T01: 06,0,Little axe,Slow fuse
Stargazer,Westend,60132011,T15,0,"Style, winter lounge",V
"Goze, christophe","Traveller, the",60132012,T06,0,"Goze, christophe",Sirocco
Tosca,Suzuki,60132013,T02: 08 (34:35 to 40:25),0,"Coco, chris",Solar spectrums 2
Lorde,Royals,60132014,T03,0,Lorde,Pure heroine
Zzzz_01321,000_DNC570,60132100,20200309,0,DNC570,"Z 1321 Car CD 30. Best of commercial & house from set 10,11,12"
Cheryl lynn,Got to be real,60132101,T04:11,1,Grand 12 inches 10,V
Shalamar,Take that to the bank,60132102,T02: 05 (60144807),0,Dance classics 3&4,V
"Jacksons, the",Can you feel it,60132103,T01: 04 (60121007),0,"Nights in heaven, the party anthems",V
Firefly,Love is gonna be on your side,60132104,T03: 09 (60121306),0,Grand 12 inches 9,V
Pointer sisters,Automatic,60132105,T02: 02 (60121707),0,12 inch 80s grooves,V
"Howard, austin",I'm the one who really loves you (remix),60132106,T07 (60121713),0,"Hit factory featuring stock aitken waterman, the",V
Nu rhythmix,Babylon into a groove (alex romano rework mix),60132107,T02 (vinyl),0,Nu rhythmix,Babylon into a groove
"Lites, shirley","Heat you up, melt you down",60132108,T01: 08 (60111204),0,Grand 12 inches 8,V
"Ford, penny",Dangerous,60132109,T01: 05 (60111406),0,Dance classics 53 & 54,V
"Smith, frankie",Double dutch bus,60132110,T04: 09 (60111501),0,Grand 12 inches 8,V
Loose ends,"Hangin on a string, contemplating",60132111,T02: 04 (60111804),0,Grand 12 inches 8,V
Shakatak,"Maniac & sister cool, mr",60132112,T03: 05 (60112513),0,Grand 12 inches 7,V
Zzzz_01322,000_DNC571,60132200,20200309,0,DNC571,ZZ 1322 Best of dnc 06
Ry x,Body sun (claptone mix),60132201,T01,1,Ry x,Body sun (claptone mix) (single)
Scott grooves,Expansions (& roy ayers) (joe clausell simplamental mix),60132202,T01,1,Scott grooves,Expansions (& roy ayers) (joe clausell simplamental mix)
Vintage culture & woo2tech,Fitc,60132203,T03,1,Vintage culture & woo2tech,Sometimes (single)
Claptone,Wildside (sidney charles mix),60132204,T02,1,Claptone,Fantast remixes pt 5 (ep)
"Letyago, anfisa",So good (original mix),60132205,T01,1,"Letyago, anfisa",So good (single)
Malandra jr,Magnetik,60132206,T01,1,Malandra jr,Magnetik (ep)
Secondcity,All these things that pt 4,60132207,T01,1,Secondcity,All these things that pt 4 (single)
Sleep d,Magic arpet ride,60132208,T01,1,Butter sessions vol 2 (single),V
Dan white,"Hammer, the (think mix)",60132209,T01,1,Dan white,Off bluff (single)
"Simmonds, chris",I changed my mind,60132210,T01,1,"Simmonds, chris",I changed my mind (single)
Zzzz_01323,000_DNC572,60132300,20200309,0,DNC572,ZZ 1323 Best of dnc 07. End of set of best of set 10 & a few more from future singles purchases etc.
Sleep d,Bush snake,60132301,T01,1,Sleep d,"Jackal pt 2, the (single)"
Alex dolby,"Raw road, carlo lio mix (& santos) (single)",60132302,T01,1,Alex dolby,"Raw road, carlo lio mix (& santos) (single)"
Paneoh,Punto des control (take 2),60132303,T03: 04,0,"Digweed, john, live in cordoba",V
"Nelson, bill",Acceleration (dub),60132304,T09,0,"Nelson, bill",Chimera
"Huntemann, oliver",Schatten,60132305,T02: 02,0,"Global underground 40, solomun",V
Paneoh,Punto des control,60132306,T01: 10 (trk 60112401 1:10 - 4:51),0,"Digweed, john, live in cordoba",V
2 fingers,Fools rhythm,60132307,T01: 01,0,Ninja tune xx 1,V
Pherox & ft lee curtiss,Black copy,60132308,T01: 13 (trk 60112607 0 - 4:10),0,Balance 025,V
Tiesto,10 seconds before sunrise,60132309,T01: 02,0,Tiesto,"Elements of life, special edition"
Instramental,No future,60132310,T20 (trk 60113503 5:45 - 10:30),0,Fabriclive 50,V
Simple minds,Up on the catwalk,60132311,T01: 13,0,Simple minds,Celebrate
Zzzz_01324,000_Drm 232,60132400,20200401,0,DRM232,ZZZ 1324 Alternately labelled superchilled 2 Copy of 1182 with 3 tracks chamged The new 'inevitable end' CDR.
Dzihan & kamien,Homebase,60132401,T04,0,Cafe del mar 6 (seis),V
Afterlife,Dub in ya mind,60132402,T02,0,Cafe del mar 6 (seis),V
Baul dimension,Lake palace,60132403,T01: 13,0,"Buddha bar 2, spirit of, siddharta",V
Vangelis,Love theme (ambient mix 2) (& gutbrod),60132404,T01: 11,0,Real ibiza 5,V
Ratnabati,Breeze,60132405,T01: 03,0,"Buddha bar 2, spirit of, siddharta",V
Afterlife,Like prana,60132406,T01: 04,0,Afterlife,Speck of gold
"Ingrosso, vito",Pretend,60132407,T02: 05,0,"Buddha bar 2, spirit of, siddharta",V
Banzai republic,Love throughout the world (& natacha atlas),60132408,T02: 02,0,Zen connection 3,V
Quoyle,Heavy,60132409,T01: 01,0,Evolutionary vibes 2,V
Quicksound,Cold winter,60132410,T01: 12,0,Buddha bar 6,V
Rae & christian,All I ask (& veba),60132411,T06,0,Rae & christian,Northern sulphuric soul
Dao,Moody moon no 5,60132412,T08,0,Dao,Soham
Groove armada,At the river (original mix),60132413,T05,1,Groove armada,"At the river (single, maxi)"
"Cummings, stephen",Melancholy hour,60132414,T06,0,"Cummings, stephen","New kind of blue, a"
"Eno, roger",Through the blue,60132415,T01,0,"Eno, roger",Voices
"Schubert, franz",Piano trio in e flat opus 100 2nd movement (film adaption),60132416,T18,0,"Lyndon, barry ost",V
Zzzz_01325,000_Dnc572,60132500,20200401,0,DNC572,ZZ 1325 Alternately labelled supermodified dance 2
Lovebirds,Modernstalking,60132501,T02: 12,0,Serve chilled 2007,V
Ceelo green,Bright lights bigger city,60132502,T02,0,Ceelo green,"Lady killer, the"
Moshic,Nightstalker (& zidan),60132503,T01: 04,0,"Nocturnal frequencies 03, danny howells",V
Powder productions,Chilli sauce 99,60132504,T10,0,"Summer breeze, glasgow underground presents, kevin mckay",V
Photek,Mine to give (& robert owens) (david morales happy mix),60132505,T02,1,Photek,Mine to give (& robert owens) (cd maxi single)
"Wilkie, ian",Twin town (& vs timo maas),60132506,T02: 02 (edit last 2:46 only),0,"Music for the maases, timo maas presents",V
Balance 014,T01: 09,60132507,T01: 09 (last 2:19 only),0,Balance 014,V
Royksopp,This must be it,60132508,T04,0,Royksopp,Junior
"Kowalski, alexander",She's worth it (& ft joris voorn),60132509,T02: 01 (60084904 0:00 - 4:53),0,Balance 011,V
Delgui,Highlights,60132510,T01: 08 (60085503B 17:30 to end),0,Balance 011,V
"Holmes, david",69 police,60132511,T01: 14 (60084503 5:00 - 10:40),0,Balance 011,V
Tilt,Headstrong,60132512,T02: 02 (60086107 0:00 - 6:20),0,Balance 003,V
"Salt, chris",Atmospheric graffiti,60132513,T02: 11 (60086211 5:10 to end),0,Balance 006,V
Evolution,Walking on fire (& jayn hanna),60132514,T02: 07,1,"Cattaneo, hernan","Cattaneo, hernan, perfecto presents, south america"
Zzzz_01465,000_DRM245,60146500,20220225,0,DRM245,"ZZZ 1456 Best of Set 11,12 chillout"
Another fine day,Lazy daisy,60146501,T02 (60143109 - trimmed front & end),0,Another fine day,Life before land
Polished chrome,Rosebud,60146502,T06 (60119802),0,"Super session 2.27, demo",V
Jagwar ma,Ordinary,60146503,T05 (60136103),0,Jagwar ma,Every now & then
"Lemon jelly / Natural, the / Bent",Come / Playing to win / Private road,60146504,"T01: 16,17,18 (60119709 trk 18 only)",0,"MOS chillout sessions 2, the",V
Endorphin,Touch,60146505,T09 (60119909),0,Endorphin,Soon after silence
"Hunter, rodney",Definition part 2 (& l'enfant terrible),60146506,T01: 09 (60120208 trimmed front & end),0,Serve chilled 2008,V
Wagon christ,Introfunktion,60146507,T01 (60142415),0,Wagon christ,Toomorrow
39 vybes,Sometimes lonely (& groove armada & rachel brown),60146508,T01: 14 (60142613),0,Winter chill 06.02,V
Kings of tomorrow,No te vaya,60146509,T14 (subtrk 2 of 3) (60142707),0,Kings of tomorrow,Trouble
Bart & baker,What can I do for you (nicola conte radio remix),60146510,T02: 13 (60143113),0,Buddha bar 17,V
Unknown,"Butter mix 005, 3 of 4",60146511,T03 (35:50 - 43:12) (60145711 cut after 3:20),0,"Butter mix 005, deadly sins",V
Ganga,Carry you home (& nikolaj grandjean) (thor & ravin rebirth remix),60146512,T01: 05 (60143114),0,Buddha bar 16,V
Moby,Sunday (the day before my birthday),60146513,T01: 15 (60143206),0,Winter chill 06.02,V
Jagwar ma,Colours of paradise,60146514,T11 (60142804),0,Jagwar ma,Every now & then
Rebeat,If you go away (& shirley bassey),60146515,T02: 09 (60143011),0,Buddha bar 16,V
"Alizadeh, akshin",Deep inside,60146516,T01: 11 (60143301),0,Buddha bar 16,V
"Sawhney, nitin",Eastern eyes,60146517,T02 (60119508 start trimmed),0,"Sawhney, nitin",Human
Zzzz_01466,000_DNC604,60146600,20220225,0,DNC604,Z 1466 DNC Car CD 31
Chaz jankel,Glad to know you (todd terje mix),60146601,T02: 13 (60121406),0,Serve chilled 2008,V
Unknown,Butter sessions 046 cd 1 trk 5,60146602,T01: 05 (47:45 - 62:31) (60146103 - 3:30 - 8:13 only),0,"Butter sessions, butter mix 046, turner street sound",V
Unknown,"Unknown, cd 1 trk 9c",60146603,T01: 11 (actually 1:09C: 20:36 - end) (60120706 - 5:15 - end),0,Djmag free downloads 20150920,V
Inner city,Secrets of the mind,60146604,T10 (60120813),0,Inner city,Paradise
Full intention,Everybody loves the sunshine (samir masio mix),60146605,T02: 14 (60120904),0,Beach house (2014),V
"Jacksons, the",Show you the way to go,60146606,T01: 07 (60143801),0,Dance classics 11&12,V
Bangbang,Do tell,60146607,T01 (60142408),0,Bangbang,Do tell (ep)
"Mannino, anthony",It's jazzy (& presents syncopation),60146608,T01: 02 (60144710 - 1:32 - end only),0,20 years of henry street music,V
Dylan rhymes,Salty,60146609,T02: 04 (60145705),0,Onelove 2,V
La mix,Don't stop jammin (brutal mix),60146610,T12: 04 (60120614),0,"History of the house sound of chicago, the",V
"Little big band, the",Pressure (lewis ferrier mix),60146611,T02: 07 (60123704),0,Beach house (2014),V
Jason hates jazz,Pray for love (chus & penn vocal mix),60146612,T01: 02 (1-01: 1:45 - end 1-02: all) (60144804 - 3:16 - end only),0,MOS housexy summer 07,V
Wilkinson / Culture shock / June miller / Stealth & stylus / Kove / Eastcolors / Wilkinson / Major lazer,"Redemption / Piano dark / Misfits (& nympho) / Homage, back to you / Searching / Toys / Afterglow / Get free (& ft amber coffman (andy c mix)",60146613,"T01: 22,23,24,25,26,27,28,29 (60122002 - 10:33 - 14:33 only)",0,"Andy c, nightlife 6",V
"Young, paul",Come back & stay (extended version),60146614,T02: 05,,"Back to the 80s 1, the long versions",V
Chaka khan,Eye to eye (extended version),60146615,T02: 09,,Grand 12 inches 15,V
Zzzz_01467,000_DNC605,60146700,20220225,0,DNC605,Z 1467 DNC Car CD 31
Manuel tur / Overstreet /  Moonbootica,Ain't no / Lose yourself (atfc mix) / Bulldog beats,60146701,"T04,05,06 (60144812 - 4:10 - 10:30 only)",0,"Fair, luke, bedrock os 0.3",V
"Osborne, jeffrey",You can't be serious,60146702,T06 (60134907),0,"Osborne, jeffrey",Don't stop
"Bucketheads, the",I wanna know (& presents kenny dope),60146703,T02: 04 (60145612 - 0 - 4:15 only),0,20 years of henry street music,V
Change,Change of heart,60146704,T02: 01 (60123411),0,12 inch 80s grooves,V
Take that,Could it be magic,60146705,T02: 02 (60122403),0,"Nights in heaven, the party anthems",V
Inner city,Do you love what you feel,60146706,T06 (60123806),0,Inner city,Paradise
Cerrone,Supernature 88,60146707,T11: 04 (60122405),0,"History of the house sound of chicago, the",V
Modjo,What i mean (mood ii swing vocal dub remix),60146708,T01: 04 (60145806),0,Dusk at bondi beach,V
Voila / Billie,Little girl (masters at work ritual mix) / It comes back around,60146709,"T10,11 (60121810 - 0 - 3:50 only)",0,"Nervous, soulful house experience, the",V
Rivers,Soft (dani zavera mix),60146710,T02: 15 ( 60145811 - 0 - 4:49 only)),0,Buddha bar 18,V
"Bucketheads, the","Bomb, these sounds fall into my mind, the (& presents kenny dope)",60146711,T01: 04 (4:41 - 11:10) (60145407),0,20 years of henry street music,V
Namy,Not this time (& kathy brown) (director's cut classic mix),60146712,T01: 03 (60122506),0,Beach house (2014),V
"Horne, jimmy bo",Dance across the floor,60146713,T02: 08 (60146106),0,Dance classics 5&6,V
"Wilkinson / Sub focus, logistics / Commix","Casino / Out of the blue (& alice gold), together vip / Be true",60146714,"T03: 35,36,37 (35 (1:30 to end)) (60121409 - 6:02 - end only)",0,"Andy c, nightlife 6",V
"Albertracks / Pride, the (et al) / Dj andre",We can fly / Paradise / Singing after dark,60146715,"T06,07,08 (60122801 - 0 -2:57 only)",0,"Nervous, soulful house experience, the",V
Themroc / Dj pierre / Dirty beatniks,"Into the light (west london deep remix) / Wet dreams (xpress 2 self abuse mix) / Whores, freaks, saints and angels (yellow sox dub mix)",60146716,"T02: 08,09,10 (60146310 - 1:40 - 5:30 only)",0,"Off the wall, 10 years of wall of sound",V
Zzzz_01469,000_DNC606,60146900,20220527,0,DNC606,"Z 1469 Back to mine, nightmares on wax (mixed)"
"Nightmares on wax, back to mine",V,60146901,T01 (whole mixed cd),0,"Nightmares on wax, back to mine",V
Zzzz_01490,Cocteau twins - GC's favourites,60149000,20190427,0,DEF430,ZZZZ 99901 Cocteau twins - GC's favourites
Cocteau twins,Pink orange red,60149001,T01,0,Cocteau twins,Echoes in a shallow bay/ tiny dynamite
Cocteau twins,Pale clouded white,60149002,T02: 07,0,Cocteau twins,Lullabies to violaine 1
Cocteau twins,My truth,60149003,T07,0,Cocteau twins,4 calender cafe
Cocteau twins,Squeeze wax,60149004,T06,0,Cocteau twins,4 calender cafe
Cocteau twins,Pandora,60149005,T05,0,Cocteau twins,Treasure
Cocteau twins,Donimo,60149006,T10,0,Cocteau twins,Treasure
Cocteau twins,Kookaburra,60149007,T02,0,Cocteau twins,Aikea guinea (ep)
Cocteau twins,Five ten fiftyfold,60149008,T02,0,Cocteau twins,Head over heels
Cocteau twins,Athol brose,60149009,T02,0,Cocteau twins,Blue bell knoll
Cocteau twins,"Itchy glowbo blow, the",60149010,T05,0,Cocteau twins,Blue bell knoll
Cocteau twins,Love's easy tears,60149011,T01,0,Cocteau twins,Love's easy tears (ep)
Cocteau twins,Sigh's smell of farewell,60149012,T03,0,Cocteau twins,Love's easy tears (ep)
Cocteau twins,Whales tails,60149013,T04,0,Cocteau twins,Victorialand
Cocteau twins,How to bring a blush to the snow,60149014,T08,0,Cocteau twins,Victorialand
Cocteau twins,Serpinskir,60149015,T02,0,Cocteau twins,Milk & kisses
Cocteau twins,Pearly dewdrops drops,60149016,T05,0,Cocteau twins,Pink opaque
Cocteau twins,Aikea guinea,60149017,T07,0,Cocteau twins,Pink opaque
Cocteau twins,Love's easy tears,60149018,T02: 09,0,Cocteau twins,Lullabies to violaine 1
Zzzz_01492,Dead can dance - GC's favourites,60149200,20190427,0,DEF432,ZZZZ 99903 Dead can dance - GC's favourites
Dead can dance,Anywhere out of the world,60149201,T01,0,Dead can dance,Within the realm of a dying sun
Dead can dance,In the kingdom of the blind the one eyed are kings,60149202,T14,0,Dead can dance,"Passage in time, a"
Dead can dance,Windfall,60149203,T02,0,Dead can dance,Within the realm of a dying sun
Dead can dance,Dawn of the iconoclast,60149204,T05,0,Dead can dance,Within the realm of a dying sun
Dead can dance,Cantara,60149205,T06,0,Dead can dance,Within the realm of a dying sun
Dead can dance,Summoning the muse,60149206,T07,0,Dead can dance,Within the realm of a dying sun
Dead can dance,Persephone,60149207,T08,0,Dead can dance,Within the realm of a dying sun
Dead can dance,Ullyses,60149208,T03,0,Dead can dance,"Passage in time, a"
Dead can dance,"Host of seraphim, the",60149209,T08,0,Dead can dance,"Passage in time, a"
Dead can dance,Song of the dispossessed,60149210,T04,0,Dead can dance,Spiritchaser
Dead can dance,Fortune presents gifts not according to the book,60149211,T05,0,Dead can dance,Aion
Dead can dance,Anastasis,60149212,T02,0,Dead can dance,Anastasis
Dead can dance,All in good time,60149213,T08,0,Dead can dance,Anastasis
Zzzz_01493,Nightmares on wax - GC's favourites to 2016-03-06,60149300,20190427,0,DRM245,ZZZZ 99904 Nightmares on wax - GC's favourites to 2016-03-06
Nightmares on wax,Dread overboard,60149301,T02,0,Nightmares on wax,Smoker's delight
Nightmares on wax,70s80s,60149302,T01: 08,0,"Chillout classics, the ultimate album",V
Nightmares on wax,Moretime,60149303,T06,0,Nightmares on wax,Thought so
Nightmares on wax,195 lbs,60149304,T02,0,Nightmares on wax,Thought so
Nightmares on wax,Be there,60149305,T03,0,Nightmares on wax,Thought so
Nightmares on wax,Stars,60149306,T01: 04,0,Headz,V
Nightmares on wax,Happiness,60149307,T06,0,Tequila slammers & the jump jump groove generation,V
Nightmares on wax,Nights interlude,60149308,T02: 12 (W0803 II-12),0,Futurefunk,V
Nightmares on wax,Tha journey,60149309,T09,0,Nightmares on wax,Smoker's delight
Nightmares on wax,Morse,60149310,T02,0,Nightmares on wax,Carboot soul
Nightmares on wax,Argha,60149311,T07,0,Nightmares on wax,Carboot soul
Nightmares on wax,Survival,60149312,T09,0,Nightmares on wax,Carboot soul
Nightmares on wax,Finer,60149313,T05,0,Nightmares on wax,Carboot soul
Nightmares on wax,Fire in the middle,60149314,T08,0,Nightmares on wax,Carboot soul
Zzzz_01494,Dub,60149400,20190427,0,DUB086,ZZZZ 99905 Reggae-dub GC favourites 2019-02-21
Blackbeard,Nough,60149401,T07,0,Blackbeard,I wah dub
Dub syndicate,Sound clash (dub),60149402,T06,0,Dub syndicate,Overdubbed
"Tamins, the",Baltimore,60149403,T17,0,Nice & ruff,V
"Congos, the",Fisherman,60149404,T01,0,"Congos, the",Heart of the congos
"Perry, lee scratch",Jungle,60149405,T09,0,"Perry, lee scratch",Time boom & de devil dead
Massive attack,Bumper ball dub,60149406,T02,0,Massive attack,No protection
Israel vibration,"Same song, the (extended)",60149407,T12,0,Israel vibration,Same song
"Pidow, ras",Dub overdue,60149408,T02: 05,0,Dub for daze 1,V
"Perry, lee scratch",His master's voice (& adrian sherwood),60149409,T01 (skip intro),0,"Perry, lee scratch",Dub setter (& adrian sherwood)
"Perry, lee scratch",Vibrate on,60149410,T04,0,"Perry, lee scratch",From the secret laboratory
"Issacs, gregory",Nigger,60149411,T07,0,"Issacs, gregory",Slum in dub
New age steppers,Private armies,60149412,T08,0,New age steppers,New age steppers
Zzzz_01495,Penultimate soundscapes,60149500,20210120,0,DEF433,ZZZZ 99906 Penultimate soundscapes
Wagner,Prelude to tristan & isolde (16:47),60149501,T05,1,Wagner,"Preludes, liebestod, idyll"
"Roach, steve",At the edge of the inbetween (anima revisited),60149502,T03,1,Endless 2,V
"Rich, robert",Sunspot cycle,60149503,T09,1,Endless 2,V
Future sound of London,Cascade pts 2 & 3,60149504,T02: 09,1,Ambient (virgin) 3,V
"Roach, steve",Cavity of liquids,60149505,T01,1,"Roach, steve","Terraform (& loren nerell), projekt presents"
Zzzz_01497,"Burning spear, Social living,  living dub",60149700,20230915,0,DUB087,"ZZZZ 99908 Burning spear, Social living, living dub"
Burning spear,"Social living, living dub",60149701,T01,1,Burning spear,"Social living, living dub"
Zzzz_01498,"Uusitalo, Vapaa muurari live",60149800,20230915,0,DRK087,"ZZZZ 99909 Uusitalo, Vapaa muurari live (trks 3-14)"
Uusitalo,Bedroom selection / Creating undo for kids,60149801,"T03,04",0,Uusitalo,Vapaa muurari live
Uusitalo,Prostitute / Ones groove,60149802,"T05,06",0,Uusitalo,Vapaa muurari live
Uusitalo,Social selection,60149803,T07,0,Uusitalo,Vapaa muurari live
Uusitalo,Dutchwallpaper / News selection / Between kate & naomi / Everything's an object,60149804,"T08,09,10,11",0,Uusitalo,Vapaa muurari live
Uusitalo,Bring the voodoo down / Social children / Big hearts come later,60149805,"T12,13,14",0,Uusitalo,Vapaa muurari live
