Artist,Title,Track no. on CDR,Track no. on source CD,,From CD artist,From CD title ( V = Various Artists)
Zzzz_00010,,60001000,200409,0,,Z 0010 Car CD 10
M people,How can I love you more (sasha remix),60001001,T02: 01,1,"Deconstruction classics, a history of dance music",V
Absolute us,There will come a day (& suzanne palmer),60001002,T01: 11,1,House of handbag,V
"Da silva, rui",Touch me,60001003,T01: 21,0,"MOS annual 2002, the",V
"Brown, jocelyn",Fun,60001004,T05,1,"Brown, jocelyn","Hits, the"
Urban hype,Game of love,60001005,T05,1,Pulsating rhythms 5,V
"Simpson, paul & colonel abrams",Could it be,60001006,T01: 13,1,MOS sessions 12,V
Da mooch,Send me some love (& ellis miah),60001007,T01: 05,1,MOS 8,V
Magenta,Music & rights,60001008,T08,1,Future sound of paris 2,V
King street crew,Gonna be alright,60001009,T08,1,Nervous ny,V
"Giles, donna",And I tell you i'm not going to stonebridge,60001010,T05,1,MOS 3,V
Black science orchestra,Heavy gospel morning,60001011,T02: 03,1,MOS 6,V
Basement jaxx,Bingo bango,60001012,T02: 01,1,MOS club nation 1,V
Mcj,I'm ready for your love (& davina),60001013,T08,1,Made in italy,V
Androgeny,I could be this I could be that,60001014,T11,1,Strictly rhythm 3,V
"Murray, jolynn",It's time to party,60001015,T05,1,Garage divas,V
Zzzz_00011,,60001100,200409,0,,Z 0011 Car CD 11
Transform,Transformation,60001101,T02: 02,1,Logic trance 2,V
"Sledge, kathy",Another star,60001102,T01: 03,0,MOS 4,V
Stereo mcs,Connected,60001103,T02: 11,0,"94th & 10th, a decade of 94th & broadway",V
"Brown, jocelyn",Happiness (& kamasutra),60001104,T06,1,"Brown, jocelyn","Hits, the"
Aquanote,Only,60001105,T01: 06,1,Deeper,V
Freakpower,Turn on tune in cop out,60001106,T02: 10,1,"94th & 10th, a decade of 94th & broadway",V
"Tucker, barbara",Stay together,60001107,T01,0,Strictly rhythm 5,V
"Candelario, benji, project",Spread love,60001108,T02: 11,1,MOS sessions 12,V
"Chunks, chubby",Testament 4,60001109,T02: 08,1,100 mph pure underground dance 1 & 2,V
